id,nombre,cre_id,latitud,longitud
,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/859/EXP/ES/2015,21.15335,-101.6542
,"SERVICIO CALIPSO, S. DE R.L. DE C.V.",PL/757/EXP/ES/2015,21.87411,-102.2435
,PETROMAX S.A. DE C.V.,PL/555/EXP/ES/2015,25.79039,-100.261
,COMBUSTIBLES ARCOTETE S.A. DE C.V.,PL/735/EXP/ES/2015,16.73734,-92.60492
,ESTACIÓN DE SERVICIO LA RIOJA S.A. DE C.V.,PL/647/EXP/ES/2015,19.82526,-99.08937
,"PETROMAX, S.A. DE C.V.",PL/771/EXP/ES/2015,25.44261,-100.9147
,PETROMAX S.A. DE C.V.,PL/514/EXP/ES/2015,25.67927,-100.4822
,"SERVICIO SIERRA DE ARTEAGA, S.A. DE C.V.",PL/783/EXP/ES/2015,25.4415,-100.8774
,DIAZ GAS S.A. DE C.V.,PL/761/EXP/ES/2015,31.7462,-106.4253
,PETROMAX S.A. DE C.V.,PL/458/EXP/ES/2015,25.70878,-100.1629
,ESTACIÓN TALLERES S.A. DE C.V.,PL/888/EXP/ES/2015,21.15601,-86.88126
,PETROMAX S.A. DE C.V.,PL/564/EXP/ES/2015,25.71314,-100.3628
,PETROMAX S.A. DE C.V.,PL/520/EXP/ES/2015,25.66576,-100.2664
,GRUPO LONOR S.A. DE C.V.,PL/874/EXP/ES/2015,15.8336,-91.96599
,"ESTACION DE SERVICIO LEON, S.DER.L. DE C.V.",PL/877/EXP/ES/2015,21.07652,-101.6518
,GRUPO OCTANO S.A. DE C.V.,PL/504/EXP/ES/2015,19.80471,-104.2044
,GRUPO OCTANO S.A. DE C.V.,PL/416/EXP/ES/2015,21.49595,-104.883
,GASOLINERAS PABA S.A. DE C.V.,PL/733/EXP/ES/2015,24.12212,-110.2945
,SERVICIO GASOL S.A. DE C.V.,PL/883/EXP/ES/2015,25.55813,-103.3947
,PETROMAX S.A. DE C.V.,PL/542/EXP/ES/2015,26.02191,-98.23244
,BECKTROP OPERADORA S.A. DE C.V.,PL/709/EXP/ES/2015,32.5229,-117.0261
,"ESTACION HIPODROMO, S.A. DE C.V.",PL/722/EXP/ES/2015,32.49483,-116.924
,ESTACIÓN DE SERVICIO VENTA DE CARPIO S.A. DE C.V.,PL/819/EXP/ES/2015,19.6214,-99.00452
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/370/EXP/ES/2015,25.78968,-109.0119
,GASOLINERAS PABA S.A. DE C.V.,PL/688/EXP/ES/2015,24.14254,-110.314
,PETROMAX S.A. DE C.V.,PL/540/EXP/ES/2015,25.76277,-100.4024
,ENERGÉTICOS Y SERVICIOS OCOZOCOAUTLA S.A. DE C.V.,PL/765/EXP/ES/2015,14.91567,-92.34282
,PETROMAX S.A. DE C.V.,PL/600/EXP/ES/2015,25.73068,-100.253
,APOYOS Y SUMINISTROS COMERCIALES E INDUSTRIALES S.A. DE C.V.,PL/633/EXP/ES/2015,32.52634,-117.0852
,GRUPO EMPRESARIAL CACHANILLA S.A. DE C.V.,PL/398/EXP/ES/2015,32.65948,-115.3744
,GRUPO EMPRESARIAL CACHANILLA S.A. DE C.V.,PL/389/EXP/ES/2015,32.59562,-115.4325
,"ESTACION GRUGAS, S. DE R.L. DE C.V.",PL/687/EXP/ES/2015,32.51322,-116.8796
,PETROMAX S.A. DE C.V.,PL/603/EXP/ES/2015,25.82103,-100.264
,ESTACIÓN GRUGAS S. DE R. L. DE C. V.,PL/669/EXP/ES/2015,32.53901,-116.9147
,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS S.A. DE C.V.,PL/739/EXP/ES/2015,16.08285,-90.63845
,"PETROMAX, S.A. DE C.V.",PL/741/EXP/ES/2015,25.48155,-100.9835
,PETROMAX S.A. DE C.V.,PL/589/EXP/ES/2015,25.78637,-100.3206
,PETRO SERVICIOS DEL SURESTE S.A. DE C.V.,PL/643/EXP/ES/2015,17.90663,-93.12914
,BECKTROP OPERADORA S.A. DE C.V.,PL/716/EXP/ES/2015,32.65059,-115.4722
,GASOLINERIA LÁZARO CHANONA BORGES S.A. DE C.V.,PL/777/EXP/ES/2015,16.76469,-93.38528
,PETROMAX S.A. DE C.V.,PL/547/EXP/ES/2015,25.77943,-100.318
,GASOLINERA NORPONIENTE S.A. DE C.V.,PL/889/EXP/ES/2015,21.14857,-86.89943
,DISTRIBUIDORA DE COBUSTIBLES LAS CAÑADAS S.A. DE C.V.,PL/736/EXP/ES/2015,16.50742,-90.65541
,PETROMAX S.A. DE C.V.,PL/598/EXP/ES/2015,19.6322,-99.0914
,ESTACIÓN DE SERVICIO CANTABRIA S.A. DE C.V.,PL/822/EXP/ES/2015,18.88947,-99.19987
,GRUPO OCTANO S.A. DE C.V.,PL/424/EXP/ES/2015,21.0257,-105.2634
,GASOLINERA GUASAVE S.A. DE C.V.,PL/903/EXP/ES/2015,25.56817,-108.4668
,PETROMAX S.A. DE C.V.,PL/495/EXP/ES/2015,26.08957,-98.29279
,GRUPO EMPRESARIAL CACHANILLA S.A. DE C.V.,PL/403/EXP/ES/2015,32.58874,-115.5797
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/391/EXP/ES/2015,25.79292,-109.0046
,ESTACIÓN JARDINES S.A. DE C.V.,PL/671/EXP/ES/2015,20.3788,-90.04852
,GASOLINERA COLON S.A. DE C.V.,PL/828/EXP/ES/2015,20.65207,-103.3658
,PETROMAX S.A. DE C.V.,PL/569/EXP/ES/2015,25.69688,-100.3575
,GRUPO OCTANO S.A. DE C.V.,PL/363/EXP/ES/2015,21.47486,-104.8595
,SERVICIOS DEL VALLE DEL FUERTE S.A. DE C.V.,PL/390/EXP/ES/2015,25.82133,-108.9919
,PETROMAX S.A. DE C.V.,PL/527/EXP/ES/2015,25.50189,-100.9627
,OPERADORA LAS CRUCES S.A. DE C.V.,PL/791/EXP/ES/2015,28.70271,-100.5463
,PETROMAX S.A. DE C.V.,PL/478/EXP/ES/2015,28.68869,-106.1335
,GRUPO GOCALVI S.A. DE C.V.,PL/830/EXP/ES/2015,31.72121,-106.4936
,ESTACIÓN EL ENCANTO S.A. DE C.V.,PL/726/EXP/ES/2015,32.56519,-116.6503
,GRUPO EMPRESARIAL CACHANILLA S.A. DE C.V.,PL/382/EXP/ES/2015,32.59637,-115.483
